NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
135,E2945000005111,大里生活改善センター,奈良県下北山村下桑原46,1,,,34.012553746916,135.97951947879,
136,E2945000006111,大小井交流会館ふるさと,奈良県下北山村下桑原560-1,1,,,34.028095595245,135.97162774956,
137,E2945000009111,佐田公民館,奈良県下北山村佐田432-1,1,,,34.004884903395,135.96738225529,
138,E2945000011111,旧下北山小学校体育館,奈良県下北山村寺垣内1002,1,,,34.004645,135.953786,
139,E2945000012111,寺垣内コミュニティセンター,奈良県下北山村寺垣内807-1,1,,,34.005866231926,135.95278533292,
140,E2945000015111,桑原公民館,奈良県下北山村上桑原440,1,,,34.005350544143,135.97965677765,
141,E2945000017111,池原公民館,奈良県下北山村上池原633,1,,,34.037946166,135.961979113,
142,E2945000018111,池峰公民館,奈良県下北山村池峰371-1,1,,,34.0261883298,135.956217969,
143,E2942700003111,久美ケ丘集会所,奈良県河合町久美ケ丘2-30-4,,,,34.576049313329,135.72978772119,
144,E2942700004111,穴闇世代間交流センター,奈良県河合町穴闇12,,,,34.582356328637,135.73934292318,
145,E2942700073111,河合町立北体育館,奈良県河合町穴闇132-3,,,,34.58506,135.737015,
146,E2942700014111,広瀬台集会所,奈良県河合町広瀬台1-7,,,,34.586364277971,135.72740139921,
147,E2942700021111,河合町文化会館,奈良県河合町高塚台1-8-3,,,,34.580329905663,135.72265723179,
148,E2942700027111,高塚台２丁目集会所,奈良県河合町高塚台2-35-3,,,,34.582351194016,135.72643614506,
149,E2942700028111,高塚台集会所,奈良県河合町高塚台3-15,1,,,34.579261760379,135.72641289849,
150,E2942700029112,河合町立公民館,奈良県河合町高塚台3-4-2,1,,,34.580388,135.727273,
151,E2942700029113,河合町立体育館,奈良県河合町高塚台3-4-2,1,,,34.580282,135.727906,
152,E2942700031111,佐味田集会所,奈良県河合町佐味田588,,,,34.565918594099,135.73248015428,
153,E2942700033121,河合町総合福祉会館,奈良県河合町山坊24-3,,,要配慮者,34.574750865537,135.73601553771,
154,E2942700034111,山坊集会所,奈良県河合町山坊539-2,,,,34.574368572254,135.73324324926,
155,E2942700037111,星和台集会所,奈良県河合町星和台2-27-2,,,,34.585311587303,135.71303133775,
156,E2942700038111,河合第二小学校,奈良県河合町星和台2-7-1,1,,,34.584600802234,135.71574757663,
157,E2942700039111,河合第二中学校,奈良県河合町星和台2-7-2,1,,,34.583363064193,135.71572287828,
158,E2942700045111,西穴闇中集会所,奈良県河合町西穴闇396-3,,,,34.586370611579,135.73630326552,
159,E2942700047111,市場集会所,奈良県河合町川合614-1,,,,34.59001457236,135.74620342521,
160,E2942700048111,城古集会所,奈良県河合町川合909-1,,,,34.587604023075,135.7444631709,
161,E2942700054111,泉台集会所,奈良県河合町泉台3-3-2,,,,34.589580733867,135.73530888123,
162,E2942700056111,大城世代間交流センター,奈良県河合町大輪田1711,,,,34.589148100295,135.72388600132,
